Type,Week,Density,Replicate,50 weight,Remaining 
OA,OA.2,6,4,0.0022,0.0052
OA,OA.2,20,1,0.0023,0.0052
OA,OA.2,20,2,0.0023,0.0037
OA,OA.2,20,3,0.0019,0.0031
OA,OA.2,20,4,0.0023,0.0046
OA,OA.2,50,1,0.0018,0.0024
OA,OA.2,50,2,0.0026,0.0035
OA,OA.2,50,3,0.0019,0.0046
OA,OA.2,50,4,0.0026,0.0029
OA,OA.2,75,1,0.0025,0.003
OA,OA.2,75,2,0.0018,0.004
OA,OA.2,75,3,0.0019,0.0012
OA,OA.2,75,4,0.0015,0.0039
OA,OA.2,100,1,0.0023,0.005
OA,OA.2,100,2,0.0033,0.0028
OA,OA.2,100,3,0.0021,0.0061
OA,OA.2,100,4,0.0015,0.0056
OA,OA.2,150,1,0.0023,0.0042
OA,OA.2,150,2,0.0022,0.0038
OA,OA.2,150,3,0.0022,0.0048
OA,OA.2,150,4,0.0018,0.0028
OA,OA.3,0,1,0.0021,0.0042
OA,OA.3,0,2,0.0026,0.0061
OA,OA.3,0,3,0.0026,0.005
OA,OA.3,0,4,0.002,0.0066
OA,OA.3,2,1,0.0023,0.0062
OA,OA.3,2,2,0.0023,0.006
OA,OA.3,2,3,0.0022,0.0058
OA,OA.3,2,4,0.0021,0.0052
OA,OA.3,6,1,0.0023,0.004
OA,OA.3,6,2,0.0027,0.0028
OA,OA.3,6,3,0.0023,0.0044
OA,OA.3,6,4,0.002,0.0034
OA,OA.3,20,1,0.0022,0.0063
OA,OA.3,20,2,0.0023,0.0039
OA,OA.3,20,3,0.0022,0.0049
OA,OA.3,20,4,0.0022,0.0028
OA,OA.3,50,1,0.0021,0.0053
OA,OA.3,50,2,0.0026,0.0059
OA,OA.3,50,3,0.0022,0.0053
OA,OA.3,50,4,0.0024,0.0049
OA,OA.3,75,1,0.0021,0.0061
OA,OA.3,75,2,0.0022,0.0033
OA,OA.3,75,3,0.0021,0.0029
OA,OA.3,75,4,0.0026,0.0031
OA,OA.3,100,1,0.0021,0.0058
OA,OA.3,100,2,0.0021,0.0049
OA,OA.3,100,3,0.0023,0.0026
OA,OA.3,100,4,0.0021,0.008
OA,OA.3,150,1,0.0026,0.0055
OA,OA.3,150,2,0.0025,0.0054
OA,OA.3,150,3,0.0021,0.0053
OA,OA.3,150,4,0.0021,0.0024
OA,OA.4,0,1,0.0024,0.0047
OA,OA.4,0,2,0.0021,0.0082
OA,OA.4,0,3,0.002,0.0082
OA,OA.4,0,4,0.0023,0.0091
OA,OA.4,2,1,0.0018,0.0067
OA,OA.4,2,2,0.003,0.0076
OA,OA.4,2,3,0.0022,0.0068
OA,OA.4,2,4,0.0023,0.0085
OA,OA.4,6,1,0.0023,0.0074
OA,OA.4,6,2,0.002,0.008
OA,OA.4,6,3,0.0021,0.0056
OA,OA.4,6,4,0.0024,0.0046
OA,OA.4,20,1,0.0023,0.0064
OA,OA.4,20,2,0.0019,0.0053
OA,OA.4,20,3,0.0022,0.0079
OA,OA.4,20,4,0.0022,0.0087
OA,OA.4,50,1,0.0022,0.0053
OA,OA.4,50,2,0.0024,0.0052
OA,OA.4,50,3,0.0024,0.0051
OA,OA.4,50,4,0.0022,0.0022
OA,OA.4,75,1,0.002,0.0069
OA,OA.4,75,2,0.0021,0.0064
OA,OA.4,75,3,0.0022,0.0045
OA,OA.4,75,4,0.0025,0.0044
OA,OA.4,100,1,0.0021,0.007
OA,OA.4,100,2,0.0018,0.0061
OA,OA.4,100,3,0.0021,0.0069
OA,OA.4,100,4,0.0025,0.0069
OA,OA.4,150,1,0.0025,0.0056
OA,OA.4,150,2,0.0022,0.0057
OA,OA.4,150,3,0.0021,0.0072
OA,OA.4,150,4,0.0022,0.0048
OA,OA.5,0,1,0.0022,0.0038
OA,OA.5,0,2,0.0026,0.0064
OA,OA.5,0,3,0.0021,0.0066
OA,OA.5,0,4,0.0023,0.0071
OA,OA.5,2,1,0.0022,0.0059
OA,OA.5,2,2,0.0021,0.0046
OA,OA.5,2,3,0.0023,0.0051
OA,OA.5,2,4,0.0023,0.0082
OA,OA.5,6,1,0.0023,0.0059
OA,OA.5,6,2,0.0023,0.0075
OA,OA.5,6,3,0.0022,0.0075
OA,OA.5,6,4,0.0022,0.008
OA,OA.5,20,1,0.0023,0.0063
OA,OA.5,20,2,0.0024,0.0077
OA,OA.5,20,3,0.0028,0.0057
OA,OA.5,20,4,0.0023,0.0102
OA,OA.5,50,1,0.0023,0.0048
OA,OA.5,50,2,0.0023,0.0048
OA,OA.5,50,3,0.0023,0.0058
OA,OA.5,50,4,0.0023,0.004
OA,OA.5,75,1,0.0023,0.0049
OA,OA.5,75,2,0.0023,0.0065
OA,OA.5,75,3,0.0022,0.0061
OA,OA.5,75,4,0.0024,0.0072
OA,OA.5,100,1,0.0021,0.007
OA,OA.5,100,2,0.0023,0.0046
OA,OA.5,100,3,0.0024,0.0071
OA,OA.5,100,4,0.0024,0.0064
OA,OA.5,150,1,0.0023,0.0047
OA,OA.5,150,2,0.0025,0.0031
OA,OA.5,150,3,0.0026,0.0054
OA,OA.5,150,4,0.0025,0.0057
OA,OA.6,0,1,0.0026,0.0082
OA,OA.6,0,2,0.0026,0.0114
OA,OA.6,0,3,0.003,0.0092
OA,OA.6,0,4,0.0025,0.0068
OA,OA.6,2,1,0.0028,0.0069
OA,OA.6,2,2,0.0023,0.0064
OA,OA.6,2,3,0.0022,0.0099
OA,OA.6,2,4,0.0024,0.0102
OA,OA.6,6,1,0.0039,0.0116
OA,OA.6,6,2,0.002,0.0115
OA,OA.6,6,3,0.0021,0.0094
OA,OA.6,6,4,0.0028,0.0097
OA,OA.6,20,1,0.0022,0.0098
OA,OA.6,20,2,0.0023,0.0058
OA,OA.6,20,3,0.0022,0.0072
OA,OA.6,20,4,0.0029,0.0082
OA,OA.6,50,1,0.0034,0.0106
OA,OA.6,50,2,0.0024,0.0071
OA,OA.6,50,3,0.004,0.0091
OA,OA.6,50,4,0.0025,0.0031
OA,OA.6,75,1,0.0027,0.0129
OA,OA.6,75,2,0.0024,0.0076
OA,OA.6,75,3,0.0021,0.0089
OA,OA.6,75,4,0.0023,0.0097
OA,OA.6,100,1,0.0021,0.009
OA,OA.6,100,2,0.0028,0.0051
OA,OA.6,100,3,0.0027,0.0097
OA,OA.6,100,4,0.0022,0.0046
